ID,name,Make,Model,Version,Price,Link,Model Date,Km Run,Energy,Engine Type,City,Color,Assembly,EngineCapacity,image1,image2,image3,image4,image5,Features
17,"
Mitsubishi Pajero  1996  for Sale",Mitsubishi,Pajero,,"
PKR 13.75 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1996-for-sale-in-khanqah-dogran-3265066,1996,"

123 km","

Petrol","

Automatic",Lahore,Black,Imported,3000 cc,https://cache3.pakwheels.com/ad_pictures/2919/mitsubishi-pajero-1996-29192632.jpg,https://cache2.pakwheels.com/ad_pictures/2919/mitsubishi-pajero-1996-29192637.jpg,https://cache4.pakwheels.com/ad_pictures/2919/mitsubishi-pajero-1996-29192639.jpg,https://cache4.pakwheels.com/ad_pictures/2919/mitsubishi-pajero-1996-29192633.jpg,https://cache3.pakwheels.com/ad_pictures/2919/mitsubishi-pajero-1996-29192635.jpg,"['Air Conditioning', 'Alloy Rims', 'Power Steering', 'Power Windows', 'Sun Roof']"

18,"
Mitsubishi Pajero  1989 Super Exceed 3.0 for Sale",Mitsubishi,Pajero,Super Exceed 3.0,"
PKR 11.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1989-for-sale-in-karachi-3264524,1989,"

150,000 km","

Petrol","

Automatic",Karachi,Grey,Imported,3000 cc,https://cache1.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-super-exceed-3-0d-1989-29186900.jpg,https://cache4.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-super-exceed-3-0d-1989-29186901.jpg,https://cache2.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-super-exceed-3-0d-1989-29186899.jpg,https://cache4.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-super-exceed-3-0d-1989-29186895.jpg,https://cache4.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-super-exceed-3-0d-1989-29186897.jpg,[]

19,"
Mitsubishi Pajero  1997  for Sale",Mitsubishi,Pajero,,"
PKR 16.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1997-for-sale-in-rawalpindi-3134384,1997,"

100,000 km","

Petrol","

Automatic",Lahore,White,Imported,2700 cc,https://cache2.pakwheels.com/ad_pictures/2769/mitsubishi-pajero-1997-27696370.jpg,https://cache3.pakwheels.com/ad_pictures/2769/mitsubishi-pajero-1997-27696366.jpg,https://cache2.pakwheels.com/ad_pictures/2769/mitsubishi-pajero-1997-27696369.jpg,https://cache1.pakwheels.com/ad_pictures/2769/mitsubishi-pajero-1997-27696368.jpg,https://cache4.pakwheels.com/ad_pictures/2769/mitsubishi-pajero-1997-27696362.jpg,[]

20,"
Mitsubishi Pajero  1990  for Sale",Mitsubishi,Pajero,,"
PKR 8 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1990-for-sale-in-faisalabad-3264061,1990,"

125,000 km","

Diesel","

Manual",Islamabad,Blue,Imported,2600 cc,https://cache1.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-1990-29181622.jpg,https://cache3.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-1990-29181617.jpg,https://cache4.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-1990-29181618.jpg,https://cache1.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-1990-29181619.jpg,https://cache1.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-1990-29181621.jpg,[]

21,"
Mitsubishi Pajero  1995 Exceed 3.5 for Sale",Mitsubishi,Pajero,Exceed 3.5,"
PKR 11.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1995-for-sale-in-peshawar-3145610,1995,"

155,555 km","

Petrol","

Automatic",Karachi,White,Imported,3500 cc,https://cache1.pakwheels.com/ad_pictures/2829/mitsubishi-pajero-exceed-3-5-1995-28298278.jpg,https://cache2.pakwheels.com/ad_pictures/2829/mitsubishi-pajero-exceed-3-5-1995-28298281.jpg,https://cache2.pakwheels.com/ad_pictures/2829/mitsubishi-pajero-exceed-3-5-1995-28298280.jpg,https://cache3.pakwheels.com/ad_pictures/2829/mitsubishi-pajero-exceed-3-5-1995-28298288.jpg,https://cache2.pakwheels.com/ad_pictures/2829/mitsubishi-pajero-exceed-3-5-1995-28298279.jpg,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

22,"
Mitsubishi Pajero  1990 Exceed 2.5D for Sale",Mitsubishi,Pajero,Exceed 2.5D,"
PKR 5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1990-for-sale-in-swat-3263956,1990,"

175,000 km","

Diesel","

Manual",Peshawar,Blue,Imported,2500 cc,https://cache3.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-5d-1990-29180539.jpg,https://cache1.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-5d-1990-29180540.jpg,https://cache3.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-5d-1990-29180542.jpg,https://cache2.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-5d-1990-29180541.jpg,https://cache4.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-5d-1990-29180543.jpg,"['AM/FM Radio', 'Air Conditioning', 'Alloy Rims', 'CD Player', 'Cassette Player', 'Power Steering', 'Power Windows', 'Sun Roof']"

23,"
Mitsubishi Pajero  1994 Exceed Automatic 2.8D ...",Mitsubishi,Pajero,Exceed Automatic 2.8D,"
PKR 16.8 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1994-for-sale-in-charsadda-3263926,1994,"

119,000 km","

Diesel","

Automatic",Mirpur A.K.,Blue,Imported,2800 cc,https://cache1.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-8d-automatic-1994-29180314.jpg,https://cache1.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-8d-automatic-1994-29180315.jpg,https://cache4.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-8d-automatic-1994-29180312.jpg,https://cache3.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-8d-automatic-1994-29180310.jpg,https://cache1.pakwheels.com/ad_pictures/2918/mitsubishi-pajero-exceed-2-8d-automatic-1994-29180313.jpg,"['ABS', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

24,"
Mitsubishi Pajero  1990  for Sale",Mitsubishi,Pajero,,"
PKR 7.25 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1990-for-sale-in-bahawalpur-3221858,1990,"

100,000 km","

Petrol","

Manual",Lahore,Blue,Imported,1800 cc,https://cache3.pakwheels.com/ad_pictures/2869/mitsubishi-pajero-exceed-2-5d-1990-28694301.jpg,https://cache3.pakwheels.com/ad_pictures/2869/mitsubishi-pajero-exceed-2-5d-1990-v-1-28694310.jpg,https://cache4.pakwheels.com/ad_pictures/2869/mitsubishi-pajero-exceed-2-5d-1990-v-1-28694308.jpg,https://cache4.pakwheels.com/ad_pictures/2869/mitsubishi-pajero-exceed-2-5d-1990-v-1-28694304.jpg,https://cache1.pakwheels.com/ad_pictures/2869/mitsubishi-pajero-exceed-2-5d-1990-v-1-28694305.jpg,"['AM/FM Radio', 'Cassette Player', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"

25,"
Mitsubishi Pajero  1991 Exceed 2.8D for Sale",Mitsubishi,Pajero,Exceed 2.8D,"
PKR 10.99 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1991-for-sale-in-islamabad-3263674,1991,"

215,412 km","

Diesel","

Manual",Bahawalpur,Gold,Imported,2800 cc,https://cache1.pakwheels.com/ad_pictures/2917/mitsubishi-pajero-intercooler-1991-29177644.jpg,https://cache2.pakwheels.com/ad_pictures/2917/mitsubishi-pajero-intercooler-1991-29177648.jpg,https://cache4.pakwheels.com/ad_pictures/2917/mitsubishi-pajero-intercooler-1991-29177646.jpg,https://cache2.pakwheels.com/ad_pictures/2917/mitsubishi-pajero-intercooler-1991-29177649.jpg,https://cache2.pakwheels.com/ad_pictures/2917/mitsubishi-pajero-intercooler-1991-29177647.jpg,"['AM/FM Radio', 'Air Bags', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Keyless Entry', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

26,"
Mitsubishi Pajero  1987 Super Exceed 3.0 for Sale",Mitsubishi,Pajero,Super Exceed 3.0,"
PKR 8.7 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1987-for-sale-in-peshawar-3208750,1987,"

12,346 km","

Petrol","

Automatic",Peshawar,White,Local,3400 cc,https://cache1.pakwheels.com/ad_pictures/2854/mitsubishi-pajero-super-exceed-3-0d-1987-28540797.jpg,https://cache4.pakwheels.com/ad_pictures/2854/mitsubishi-pajero-super-exceed-3-0d-1987-28540793.jpg,https://cache1.pakwheels.com/ad_pictures/2854/mitsubishi-pajero-super-exceed-3-0d-1987-28540796.jpg,https://cache3.pakwheels.com/ad_pictures/2854/mitsubishi-pajero-super-exceed-3-0d-1987-28540794.jpg,https://cache1.pakwheels.com/ad_pictures/2854/mitsubishi-pajero-super-exceed-3-0d-1987-28540795.jpg,"['ABS', 'AM/FM Radio', 'Air Conditioning', 'Alloy Rims', 'Cassette Player', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows', 'Sun Roof']"

27,"
Mitsubishi Pajero  1993  for Sale",Mitsubishi,Pajero,,"
PKR 10.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1993-for-sale-in-karachi-3250335,1993,"

1,111 km","

Diesel","

Manual",Karachi,White,Imported,2400 cc,https://cache4.pakwheels.com/ad_pictures/2902/mitsubishi-pajero-1993-29024482.jpg,https://cache4.pakwheels.com/ad_pictures/2902/mitsubishi-pajero-1993-29024478.jpg,https://cache4.pakwheels.com/ad_pictures/2902/mitsubishi-pajero-1993-29024483.jpg,https://cache4.pakwheels.com/ad_pictures/2902/mitsubishi-pajero-1993-29024481.jpg,https://cache3.pakwheels.com/ad_pictures/2902/mitsubishi-pajero-1993-29024476.jpg,"['AM/FM Radio', 'Air Conditioning', 'Alloy Rims', 'Power Mirrors', 'Power Steering', 'Power Windows']"

28,"
Mitsubishi Pajero  1984 Exceed 2.5D for Sale",Mitsubishi,Pajero,Exceed 2.5D,"
PKR 8.5 lacs",https://www.pakwheels.com/used-cars/mitsubishi-pajero-1984-for-sale-in-islamabad-3204170,1984,"

999,999 km","

Diesel","

Manual",Peshawar,Blue,Imported,2500 cc,https://cache4.pakwheels.com/ad_pictures/2848/mitsubishi-pajero-exceed-2-5d-1984-28487826.jpg,https://cache2.pakwheels.com/ad_pictures/2848/mitsubishi-pajero-exceed-2-5d-1984-28487819.jpg,https://cache2.pakwheels.com/ad_pictures/2848/mitsubishi-pajero-exceed-2-5d-1984-28487823.jpg,https://cache1.pakwheels.com/ad_pictures/2848/mitsubishi-pajero-exceed-2-5d-1984-28487820.jpg,https://cache3.pakwheels.com/ad_pictures/2848/mitsubishi-pajero-exceed-2-5d-1984-28487817.jpg,"['AM/FM Radio', 'Cassette Player', 'Power Locks', 'Power Mirrors', 'Power Steering', 'Power Windows']"

